"","x"
"M3260",30.9126514430944
"M1564",21.9856610910747
"M2293",52.8234394822706
"M3261",45.4755139651818
"M21795",31.4496078966832
"M3543",21.9498843558811
"M2294",57.1192934256272
"M3262",61.5578564478784
"M3263",46.82793889338
"M3264",36.6833792095432
"M31434",77.9557258136216
"M2295",53.8459454417752
"M31211",43.2129735523839
"M40669",184.944627909481
"M3265",66.1208809039037
"M3266",68.4263966051557
"M3267",14.5554483750164
"M16465",61.5000202225694
"M3268",18.9473121472527
"M3269",46.5815343535732
"M3270",34.8662872339242
"M3271",46.5620124146048
"M3272",26.2279748694058
"M10645",14.0253523679623
"M3273",48.1537501057193
"M15035",15.1686581933535
"M84",17.9640624853474
"M16958",10.7094829652426
"M529",20.9540382735953
"M14804",26.4685192375023
"M2296",23.6859726423533
"M36072",145.081263210446
"M11198",44.1257884075483
"M15036",16.8946173665229
"M7234",9.83159464749853
"M3274",59.6242572215324
"M3275",34.1556342708412
"M27980",69.9602955281309
"M3276",33.6865988164531
"M3277",16.600266266306
"M3278",68.8545468198677
"M26364",59.0752734960375
"M30719",159.398266925512
"M3279",31.6069769709431
"M31435",64.7022617455397
"M31212",67.0949775040926
"M3280",82.3741230901621
"M31436",63.688501591398
"M2297",84.3720789058831
"M26365",100.833642473246
"M2349",55.9744819435004
"M28709",55.7361478869143
"M21796",58.0020707359257
"M8668",11.1466025514929
"M2768",103.446175825107
"M1285",26.1581807584714
"M33575",110.137351153817
"M36073",132.993247439819
"M20459",42.3442431945563
"M21365",95.4708033161154
"M14562",53.2955339907118
"M19152",47.3508731381441
"M21366",57.3016078443531
"M30720",31.4981454080463
"M15701",60.0495241863905
"M2669",11.0629474213037
"M15987",37.0015613212118
"M17217",17.3560724882519
"M8293",67.6026443738639
"M2769",51.5321549277574
"M10035",13.7237294182119
"M9621",19.9897032662796
"M10732",65.5930835596862
"M2770",151.796495362801
"M10404",47.3143529267052
"M2771",51.9912397510589
"M35552",79.4591221866419
"M2350",54.1471063082448
"M8294",22.9758588853052
"M11397",31.5135249536042
"M15037",15.2053190698834
"M35697",48.7034526052767
"M14563",44.5628183567735
