"","x"
"M14694",100.025949941368
"M8761",52.0501657875843
"M21367",30.5270350746059
"M3140",59.6976440094126
"M4744",68.0314817124233
"M3141",69.3063841535827
"M7235",53.3913285313944
"M24810",109.83623638027
"M9729",50.9937408210709
"M40292",247.807183793136
"M34817",202.594483903177
"M4864",55.8284630904979
"M7984",149.975285672864
"M9820",145.966512893209
"M7985",39.9019269137106
"M2601",93.2249005003724
"M30478",86.6941543268823
"M530",49.5358704125699
"M5921",50.5118900739619
"M22891",136.521573683033
"M31440",55.1122761587758
"M34818",264.653537830433
"M10406",130.393507551971
"M8295",203.355492437247
"M25721",204.419572597996
"M3005",67.2390726427107
"M27236",50.2680299152228
"M31215",73.6582195168859
"M34460",151.378575585663
"M25603",59.2761604066327
"M16467",50.3113756155731
"M36355",156.183282923207
"M9411",52.1087818957499
"M19660",84.4636013905597
"M16324",40.7175019392542
"M3006",41.0811983537867
"M16325",82.2732206677479
"M33860",101.269047798427
"M1087",65.7972975448368
"M1438",59.1923045282594
"M4745",42.1903312870633
"M3401",63.2323024107314
"M18373",86.7377981702847
"M1088",74.0632045462234
"M10958",89.9790803174505
"M27849",41.4418043871429
"M12365",56.1016694156489
"M26584",52.2935668041162
"M2602",115.651320983415
"M8296",58.6578066257257
"M14929",47.9128431255946
"M3402",35.3688125771862
"M3403",65.8142888299605
"M9412",55.8506546392529
"M25604",51.0908599560819
"M30796",107.700324534745
"M6815",51.9973267792383
"M31216",36.8654478478521
"M1089",64.5460012262705
"M16580",37.4867185728812
"M9413",60.3756714411898
"M9523",52.4593521590901
"M1090",45.3589006775483
"M7986",47.5654531033559
"M13078",117.566865199521
"M623",50.913146479231
"M16820",39.2232111318257
"M40670",163.429696914106
"M1091",67.2850877262852
"M5045",190.22585795039
"M21095",36.6122142990936
"M3404",54.9405786744695
"M15825",52.3592810339174
"M6816",49.0595869874934
"M31903",109.618656579382
"M3007",49.3742535938556
"M4746",68.156550076486
"M6403",84.0507071498767
"M27237",67.0724322569177
"M30723",120.308990286008
