"","CV_QC","CV_Samples"
"M23439",59.7821242135267,35.834758896578
"M42661",200.903047355275,377.187559971863
"M10403",20.6845045927623,52.2337116887696
"M12055",13.8359431822024,75.276876092995
"M19473",32.6741785716842,150.417452744677
"M31206",45.0225591292063,68.206665857216
"M8183",19.476122781377,111.31140490395
"M10644",33.0668297402865,65.4008062690255
"M13075",10.07371820766,100.014482882699
"M17071",21.6138772808467,78.5444433680629
"M23440",43.8122343607358,80.9224090853042
"M23441",29.2232998523871,22.5756810937239
"M23442",50.3723170816453,81.9628428719147
"M23443",47.2032470797855,37.4028242994193
"M34341",101.706711227913,116.435891670376
"M36470",124.098516027338,92.8831256777921
"M27406",68.5963892425937,70.0013000713529
"M555",10.035797888035,88.7626245571877
"M23292",33.0011645368984,111.738780941399
"M13293",25.4237265393235,46.2579512522433
"M26939",56.8775686939266,86.7576932532469
"M3700",31.5524403269206,89.8830959303279
"M42861",191.628548096439,355.042362450183
"M18523",31.787250254647,100.083162107964
"M14693",76.9985051702597,201.033339698258
"M34815",79.0321316588146,222.344886416653
"M14802",9.65212707959419,99.0065183032302
"M19037",61.5031479593047,77.5643591536784
"M29523",59.679517404698,135.729759048484
"M5747",24.6397684850238,62.5823704023714
"M22075",60.4691783435069,312.644310181646
"M22888",48.5578963690127,80.6685837847476
"M15824",27.4710245454212,172.47622132718
"M21528",56.343669776015,74.7989761923163
"M28816",70.4521760351449,103.490136480603
"M8995",16.7267276677303,72.4553363419099
"M1746",12.4856354225915,42.897181814703
"M2668",19.3564846124912,64.5939632602026
"M10270",11.3357534686481,167.574089331669
"M10271",19.6109939992787,67.6786520000605
"M29373",38.4379877982825,60.1415337266206
"M26940",76.329344683858,165.952650679135
"M25446",59.5858092475569,124.270166947182
"M8996",53.0862578312468,47.595138762508
"M8997",24.3030618232145,62.1278623102376
"M23576",29.7364713220736,27.2467531830389
"M979",18.1669297250321,66.1211389817756
"M8998",50.0938528257935,51.5072333414859
"M35015",98.1162583234332,78.1995324263784
"M8999",40.4609650091557,63.0084185404912
"M12056",48.2539284646354,128.956673259578
"M1747",20.2444675626805,64.5373977789605
"M19659",43.1103892487976,103.566697344103
"M34342",111.816387983829,150.950229837082
"M21529",121.159233711336,157.869921537277
"M4217",27.748332485415,67.0950274103258
"M24809",42.9316212650326,53.8981284742705
"M27726",38.109297033878,129.634067705583
"M31207",67.0574293840161,130.034139203767
"M17216",15.0770226060088,103.097347478845
"M190",18.512366704417,69.3872571690806
"M25447",53.7800919198367,90.2425974089193
"M27407",48.1809564576998,166.221977302838
