"","PC1","PC2","PC3"
"F746",-0.00399409147015663,-0.00446196029988693,0.000819163939646069
"F747",0.000475430669303033,0.00748630125637841,0.00752408300421914
"F751",0.0046330231875671,0.00572466208466856,-0.00210058962813821
"F752",0.000661098695677737,0.00928435545663392,-0.0123845902377393
"F753",-0.00873349580904755,-0.00348570011810446,-0.00691435969383729
"F755",-0.00805624863267957,-0.00374814050237228,-0.00997642262740448
"F758",-0.00201102294776152,0.0116570399439637,0.00198843614661242
"F762",-0.00330643951764118,-0.00522488610704824,-0.00236217200989986
"F763",0.00136992268015043,0.00776652606076765,0.0084270912825314
"F764",0.00641678917865662,-0.00196301832989192,-0.000757579342764304
"F769",-0.00759200102897425,0.00345778720108316,0.017777916207167
"F770",-0.00876074185465554,0.00137539200356516,0.0163296662808452
"F771",-0.00569837688990578,-0.00322322762314165,0.0172248882470425
"F772",-0.00880779245986817,-2.8712022196216e-05,0.0158771580164301
"F773",-0.00956334395887596,0.00112607487607462,0.0124138042495453
"F774",-0.00962317511839876,0.000993691541227959,0.0130185236272888
"F775",-0.00834127234645725,6.11691539991511e-05,0.0167100266259164
"F776",-0.00900545083268336,0.00218610692256117,0.0146069287128369
"F778",-0.00577041223763527,-0.00280733253703015,0.0173722859288934
"F779",-0.00581200738234596,-0.0026189835979779,0.0176128116385857
"F780",-0.00988808550439643,-0.00084505664828845,0.0125964064282687
"F781",-0.00754049832861857,0.00177343058423477,0.0177648248875695
"F782",-0.00845619915073852,0.000193066733282922,0.0169577188654979
"F783",-0.00885239438285029,0.00093820237765943,0.0162384017940779
"F784",-0.00583127294535709,0.000802857506945667,0.0144702089791753
"F785",-0.00756685677709004,-0.00735077171497609,0.0119612593007188
"F786",-0.00600445359958512,-0.00132567011703708,-0.00179492876647854
"F787",-0.00310995788568829,-0.00596258032847033,0.00231263993178658
"F788",-0.00446972754009286,-0.0054672368077031,0.00170497502134139
"F792",-0.00568644652333581,-0.0101338463115148,0.00807314266929812
"F793",0.00145510490944784,-0.0010153900349367,0.00160672033271006
"F794",0.00621800974731686,0.00353566044359954,-0.00154437354976904
"F795",0.00726407533744977,0.00512391096621194,0.00036095552376224
"F796",0.00728067314261867,0.00512381910744607,0.000434789712976921
"F797",-0.00268398251924962,0.00116621203224158,0.00318723479253784
"F798",-0.00562346098208893,0.00347523212239098,-0.00317391856311242
"F804",-0.00903368893354188,-0.00225984519978738,0.00503549697441186
"F808",-0.0033577081271967,-0.010675490656422,0.00269478980222839
"F811",-0.00530336211210799,-0.0115226811709174,0.00593137185352878
"F813",-0.00458809418124122,0.00321565803775006,0.00244890613209927
"F814",0.00386141357161483,-0.01091378390238,-0.00318069840707203
"F817",-0.00696061532897786,-0.00234799863093397,0.00354680265409478
"F840",-0.00587055779071355,-0.0122332510146828,0.00038196759183667
"F841",-0.00149652758698698,0.0136811907702126,0.00628461110789038
"F842",0.00423598619865967,0.015465486921912,0.0066986248211691
"F843",0.0010457242302531,0.000290812338790623,0.00236071712603774
"F844",0.00870522534245141,0.00461052695931503,0.000987968519053117
"F845",0.00630676279536854,-0.00466322819495205,0.00212737829977489
"F846",-0.00412237350803937,0.00317656347133913,-0.00341865253442697
"F847",0.00221454097993465,-0.0025045858615674,0.00171041237873093
"F848",0.00592622608796352,-0.00252523126322801,0.00632415456002726
"F849",0.00224887000271701,0.0160080236697,0.0066546391911388
"F850",0.000810942884574613,0.0162897739850016,0.00656533850595221
"F851",0.00765157644385956,0.00200254354945922,0.00633086012243355
"F869",-0.00955668873274023,-0.0118358497403976,-0.00432081603824644
"F870",-0.00868379410510319,-0.0119406439935611,-0.00335334602015201
"F871",0.000258061311708118,-0.00674592888903714,0.00450215559277217
"F873",-0.00252355894421872,-0.00507017050542145,0.00984408295487645
"F875",-0.00891172726358711,0.00089057859037101,0.00647274051144549
"F876",-0.00889705646687834,0.00111676386065335,0.00658314569611271
"F881",-0.00775796805589671,0.000104769652194614,0.000890405943527756
"F882",-0.00399385711317494,0.0108905242983697,0.0067875271944782
"F883",-0.00861281237553119,0.00602354661606646,-0.00825625823172985
"F884",-0.00259847307064434,0.00361190222514359,-0.00319516850992995
"F888",-0.00235506743083727,0.00399189260192466,-0.0029862431066339
"F889",-0.00245653282483333,0.00131150178076012,-0.00395339696521164
"F890",-0.000718493897731284,0.0139440058337822,-0.00376308483021142
"F892",0.00472623452213203,0.00236754279618862,0.000410849546209729
"F893",-0.00192962459371351,-0.000639692452937982,-0.00137915471163385
"F894",-0.000744453795559958,0.018052645720498,0.00131024436242608
"F900",-0.00469723827093662,0.00506927626945764,0.00947434950333275
"F901",-0.0045842193762496,0.00515974633526509,0.010444055753547
"F902",-0.00470303769209369,-0.0027698442106414,0.0121565447808402
"F912",0.00436063682937195,0.00355615673034753,-0.00148549778194154
"F923",-0.00615904418732881,-0.00255857787837938,0.0111569194110675
"F932",0.00207790678458514,-0.00259981192204497,3.80039040687242e-05
"F933",0.00493689460149326,0.00281062716451543,-0.000677238881629029
"F934",0.00591444297698824,0.00530383432501955,0.000170660312558703
"F935",0.00443180131427272,0.00324379944449112,-0.0024743754602916
"F936",0.00325372799965722,-0.000966734736495763,0.00705989191207751
"F937",0.00351173614962089,-0.00303036557467312,0.00303326110666991
"F938",0.00726057910822105,-0.00444070046234049,0.00481455826698396
"F939",-0.000358850121150076,-0.00216327977590848,0.000705343470790053
"F952",-0.00297774521908046,-0.00319601650010706,0.00659319762570254
"F953",-0.00473014541759688,0.000730948619695698,0.00980851572861528
"F954",-0.0023963683817054,0.0121073679367266,0.0103686097269837
"F955",-0.0091956077039817,0.00521921636861788,0.0112747137073548
"F956",0.00171606015488963,0.00397410604398239,0.0037162549917066
"F957",-0.00311814282992151,-0.00678956458960009,0.00493126963122581
"F958",-0.000622431262779749,-0.00618940900925018,0.00933359364864643
"F959",-0.000205569043457079,-0.00313897844401767,0.0106078993611112
"F960",-0.00609158888878933,-0.00240531710001146,0.00229686583560992
"F961",-0.00526411725380267,0.000785467312551357,0.00225072390695477
"F962",-0.00539766946261284,0.000964277637469443,0.00253686322075085
"F966",-0.00325613814523778,-0.0125421582269074,-0.00185481300123017
"F967",-0.00110996732383358,-0.00906226905775977,-0.000183067459418393
"F968",-0.00189887642712406,-0.0131836597529168,-0.00176286903980116
"F974",-0.00317305788009399,-0.0050791684665677,0.00764935997054571
"F976",-0.00247961570497558,-0.00732445386207767,0.0126627099837546
"F978",-0.00360799529997539,-0.00184883275951067,0.000122902223968818
"F979",-0.00226047017251752,0.00734744980160195,0.00700251812229366
"F980",-0.00829017354788653,0.00391861370872322,0.00584851820613161
"F981",-0.00967034240781711,0.00164944489057066,0.0043567559405506
"F982",-0.00878055146126719,-0.000247963293962419,0.00397564939373186
"F983",-0.00222213773226211,0.00340277250054969,-0.00104529246180536
"F984",0.000707365276476636,-0.0091437102841222,-0.000835820976595457
"F985",-0.00518367735185041,0.000579994943817414,0.00381629702894434
